[2024-08-07T13:45:13Z INFO  rhoevm] Starting EVM symbolic execution...
[2024-08-07T13:45:13Z DEBUG rhoevm] PC: 0x88, Opcode: PUSH0
[2024-08-07T13:45:13Z DEBUG rhoevm] PC: 0x89, Opcode: DUP1
[2024-08-07T13:45:13Z DEBUG rhoevm] PC: 0x8a, Opcode: RETURNDATACOPY
[2024-08-07T13:45:13Z DEBUG rhoevm] PC: 0x8b, Opcode: RETURNDATASIZE
[2024-08-07T13:45:13Z DEBUG rhoevm] PC: 0x8c, Opcode: PUSH0
[2024-08-07T13:45:13Z DEBUG rhoevm] PC: 0x8d, Opcode: REVERT
[2024-08-07T13:45:14Z DEBUG rhoevm] ---------------
[2024-08-07T13:45:14Z DEBUG rhoevm] PC: 0x46, Opcode: DUP1
[2024-08-07T13:45:14Z DEBUG rhoevm] PC: 0x47, Opcode: PUSH4 Lit(0x919840ad)
[2024-08-07T13:45:14Z DEBUG rhoevm] PC: 0x4c, Opcode: EQ
[2024-08-07T13:45:14Z DEBUG rhoevm] PC: 0x4d, Opcode: PUSH2 Lit(0x42)
[2024-08-07T13:45:14Z DEBUG rhoevm] PC: 0x50, Opcode: JUMPI
[2024-08-07T13:45:14Z DEBUG rhoevm] PC: 0x5f, Opcode: JUMPDEST
[2024-08-07T13:45:14Z DEBUG rhoevm] PC: 0x60, Opcode: PUSH2 Lit(0x4a)
[2024-08-07T13:45:14Z DEBUG rhoevm] PC: 0x63, Opcode: PUSH2 Lit(0xb2)
[2024-08-07T13:45:14Z DEBUG rhoevm] PC: 0x66, Opcode: JUMP
[2024-08-07T13:45:14Z DEBUG rhoevm] PC: 0xcf, Opcode: JUMPDEST
[2024-08-07T13:45:14Z DEBUG rhoevm] PC: 0xd0, Opcode: PUSH0
[2024-08-07T13:45:14Z DEBUG rhoevm] PC: 0xd1, Opcode: DUP1
[2024-08-07T13:45:14Z INFO  rhoevm::modules::evm] access_storage slot=Lit(0x0), slot_conc=Lit(0x0)
[2024-08-07T13:45:14Z INFO  rhoevm::modules::evm] access_storage @ addr=SymAddr(entrypoint)
[2024-08-07T13:45:14Z INFO  rhoevm::modules::evm] sload push y=Lit(0x0)
[2024-08-07T13:45:14Z DEBUG rhoevm] PC: 0xd2, Opcode: SLOAD
[2024-08-07T13:45:14Z DEBUG rhoevm] PC: 0xd3, Opcode: SWAP1
[2024-08-07T13:45:14Z DEBUG rhoevm] PC: 0xd4, Opcode: PUSH2 Lit(0x100)
[2024-08-07T13:45:14Z DEBUG rhoevm] PC: 0xd7, Opcode: EXP
[2024-08-07T13:45:14Z DEBUG rhoevm] PC: 0xd8, Opcode: SWAP1
[2024-08-07T13:45:14Z DEBUG rhoevm] PC: 0xd9, Opcode: DIV
[2024-08-07T13:45:14Z DEBUG rhoevm] PC: 0xda, Opcode: PUSH20 Lit(0xffffffffffffffffffffffffffffffffffffffff)
[2024-08-07T13:45:14Z DEBUG rhoevm] PC: 0xef, Opcode: AND
[2024-08-07T13:45:14Z DEBUG rhoevm] PC: 0xf0, Opcode: PUSH20 Lit(0xffffffffffffffffffffffffffffffffffffffff)
[2024-08-07T13:45:14Z DEBUG rhoevm] PC: 0x105, Opcode: AND
[2024-08-07T13:45:14Z DEBUG rhoevm] PC: 0x106, Opcode: PUSH4 Lit(0x919840ad)
[2024-08-07T13:45:14Z DEBUG rhoevm] PC: 0x10b, Opcode: PUSH1 Lit(0x40)
[2024-08-07T13:45:14Z DEBUG rhoevm] PC: 0x10d, Opcode: MLOAD
[2024-08-07T13:45:14Z DEBUG rhoevm] PC: 0x10e, Opcode: DUP2
[2024-08-07T13:45:14Z DEBUG rhoevm] PC: 0x10f, Opcode: PUSH4 Lit(0xffffffff)
[2024-08-07T13:45:14Z DEBUG rhoevm] PC: 0x114, Opcode: AND
[2024-08-07T13:45:14Z DEBUG rhoevm] PC: 0x115, Opcode: PUSH1 Lit(0xe0)
[2024-08-07T13:45:14Z DEBUG rhoevm] PC: 0x117, Opcode: SHL
[2024-08-07T13:45:14Z DEBUG rhoevm] PC: 0x118, Opcode: DUP2
[2024-08-07T13:45:14Z DEBUG rhoevm] PC: 0x119, Opcode: MSTORE
[2024-08-07T13:45:14Z DEBUG rhoevm] PC: 0x11a, Opcode: PUSH1 Lit(0x4)
[2024-08-07T13:45:14Z DEBUG rhoevm] PC: 0x11c, Opcode: ADD
[2024-08-07T13:45:14Z DEBUG rhoevm] PC: 0x11d, Opcode: PUSH0
[2024-08-07T13:45:14Z DEBUG rhoevm] PC: 0x11e, Opcode: PUSH1 Lit(0x40)
[2024-08-07T13:45:14Z INFO  rhoevm::modules::types] shr(8000000000000000000000000000000000, 0)


0x919840ad
0x40
word
And(0x40, 0xffffffff))
0xe0
